Group,Home Team,Away Team,Final Score,Dad,Mom,Max,Owen
A,Mexico,South Korea,1-0,,,,
A,Mexico,South Africa,2-0,,,,
A,South Korea,Czechia,2-1,,,,
A,Czechia,South Africa,1-1,,,,
B,Switzerland,Bosnia & Herzegovina,4-1,,,,
B,Switzerland,Qatar,1-1,,,,
B,Canada,Bosnia & Herzegovina,1-1,,,,
B,Canada,Qatar,6-0,,,,
C,Brazil,Morocco,1-1,,,,
C,Brazil,Haiti,3-0,,,,
C,Morocco,Scotland,1-0,,,,
C,Scotland,Haiti,1-0,,,,
D,United States,Paraguay,4-1,,,,
D,United States,Australia,2-0,,,,
D,Türkiye,Paraguay,0-1,,,,
D,Türkiye,Australia,0-2,,,,
E,Germany,Ivory Coast,2-1,,,,
E,Germany,Curaçao,7-1,,,,
E,Ecuador,Ivory Coast,0-1,,,,
E,Ecuador,Curaçao,0-0,,,,
F,Netherlands,Japan,2-2,,,,
F,Netherlands,Sweden,5-1,,,,
F,Japan,Tunisia,4-0,,,,
F,Sweden,Tunisia,5-1,,,,
G,Belgium,Iran,0-0,,,,
G,Belgium,Egypt,1-1,,,,
G,Iran,New Zealand,2-2,,,,
G,Egypt,New Zealand,3-1,,,,
H,Spain,Saudi Arabia,4-0,,,,
H,Spain,Cabo Verde,0-0,,,,
H,Uruguay,Saudi Arabia,1-1,,,,
H,Uruguay,Cabo Verde,2-2,,,,
I,France,Senegal,3-1,,,,
I,Norway,Iraq,4-1,,,,
J,Argentina,Algeria,3-0,,,,
J,Austria,Jordan,3-1,,,,
K,Portugal,DR Congo,1-1,,,,
K,Colombia,Uzbekistan,3-1,,,,
L,England,Croatia,4-2,,,,
L,Ghana,Panama,1-0,,,,
